time,avg_generation solar,avg_generation wind onshore,avg_total load actual,max_generation solar,max_generation wind onshore,max_total load actual
2015-12-07,2621.25,2890.625,26566.291666666668,5302.0,5353.0,31247.0
2015-12-08,1360.9583333333333,3636.5416666666665,29748.5,4073.0,7651.0,34527.0
2015-12-09,1245.0833333333333,3874.0416666666665,25264.125,3195.0,5244.0,28400.0
2015-12-10,701.9583333333334,4378.916666666667,23283.208333333332,2199.0,7207.0,27689.0
2015-12-11,1182.7916666666667,1210.5833333333333,28493.666666666668,3707.0,2781.0,33200.0
2015-12-12,443.375,2136.75,27664.916666666668,1790.0,3181.0,31489.0
2015-12-13,342.1666666666667,4256.416666666667,25908.708333333332,1500.0,7653.0,31406.0
2015-12-14,302.0833333333333,7399.541666666667,30981.375,1319.0,8078.0,36361.0
2015-12-15,630.0833333333334,7507.708333333333,31019.291666666668,2438.0,8493.0,35967.0
2015-12-16,620.7916666666666,5415.625,30672.0,2592.0,7606.0,35393.0
2015-12-17,523.5416666666666,5053.5,30549.916666666668,1984.0,5642.0,35396.0
2015-12-18,616.25,4521.625,29922.416666666668,2496.0,5844.0,34052.0
2015-12-19,864.625,6093.666666666667,27257.791666666668,3308.0,7756.0,31208.0
2015-12-20,496.5833333333333,4824.833333333333,25296.458333333332,1873.0,7245.0,30356.0
2015-12-21,712.625,3979.7083333333335,29482.5,2697.0,5929.0,34459.0
2015-12-22,757.7916666666666,5893.625,29774.583333333332,2784.0,6746.0,34372.0
2015-12-23,561.5416666666666,2608.9583333333335,29141.416666666668,2233.0,4729.0,33336.0
2015-12-24,529.5,4647.208333333333,25477.25,2216.0,5742.0,29553.0
2015-12-25,751.5,4044.0833333333335,21780.541666666668,2778.0,5501.0,26103.0
2015-12-26,662.7083333333334,6387.0,24161.416666666668,2723.0,7423.0,28786.0
2015-12-27,583.5,9012.5,23863.208333333332,2362.0,12652.0,28962.0
2015-12-28,383.8333333333333,11181.333333333334,27453.458333333332,1636.0,12208.0,31981.0
2015-12-29,548.0833333333334,6085.333333333333,27222.791666666668,2211.0,9890.0,31722.0
2015-12-30,606.5416666666666,8054.708333333333,27050.5,2340.0,11080.0,31393.0
2015-12-31,262.5833333333333,4455.041666666667,24925.291666666668,1051.0,7761.0,29568.0
2016-01-01,372.0416666666667,8602.5,21859.625,1512.0,11825.0,26149.0
2016-01-02,1187.9166666666667,3275.0833333333335,30059.416666666668,3776.0,9666.0,35381.0
2016-01-03,1900.8333333333333,7821.708333333333,31168.666666666668,5259.0,9264.0,36599.0
2016-01-04,2175.4583333333335,6396.708333333333,29071.375,5512.0,8893.0,33719.0
2016-01-05,2599.7083333333335,8913.416666666666,22167.25,5779.0,10185.0,25843.0
2016-01-06,2725.25,5553.416666666667,27998.75,5633.0,6759.0,31466.0
2016-01-07,2467.3333333333335,2720.7083333333335,30640.875,5329.0,6293.0,35804.0
2016-01-08,2399.0833333333335,3887.375,30497.208333333332,5156.0,6243.0,35892.0
2016-01-09,1994.4166666666667,3532.875,31439.208333333332,4936.0,5671.0,36769.0
2016-01-10,1598.125,2340.0416666666665,25379.083333333332,4762.0,3656.0,28678.0
2016-01-11,795.6666666666666,2543.0,23444.083333333332,2645.0,6934.0,27672.0
2016-01-12,313.9583333333333,3054.0,31283.416666666668,1186.0,6643.0,36345.0
2016-01-13,769.0,5908.208333333333,31693.708333333332,2861.0,10137.0,36875.0
